"Participant","Carrier","SPL","SL","Rayleigh","Ftest"
"ANH4209","u_F2",20,-3.8,0.07386341,0.283531134817574
"ANH4209","u_F2",35,11.2,0.62321702,0.783892490359397
"ANH4209","u_F2",50,26.2,0.10095753,0.609188771171097
"ANH4209","u_F2",65,41.2,0.0222166,0.209568376985126
"ANH4210","a_F1",20,4.9,0.17980706,0.152302016565768
"ANH4210","a_F1",35,19.9,0.01023687,0.520514374974221
"ANH4210","a_F1",50,34.9,2.659e-05,0.000462169086225355
"ANH4210","a_F1",65,49.9,0,3.30692691249928e-09
"ANH4210","a_F2",20,-3.29,0.28685054,0.438342065967005
"ANH4210","a_F2",35,11.71,0,8.09945983925975e-06
"ANH4210","a_F2",50,26.71,0,7.48525978109426e-08
"ANH4210","a_F2",65,41.71,0,1.38896226625747e-11
"ANH4210","i_F1",20,-1.54,0.14816041,0.232813515468272
"ANH4210","i_F1",35,13.46,0.28167791,0.156187585967866
"ANH4210","i_F1",50,28.46,0,1.27220373161578e-06
"ANH4210","i_F1",65,43.46,0,5.00378870256606e-11
"ANH4210","i_F2",20,-8.64,0.88859837,0.438005520430815
"ANH4210","i_F2",35,6.36,0.00850171,0.00531833434169369
"ANH4210","i_F2",50,21.36,5e-07,2.33708300215584e-05
"ANH4210","i_F2",65,36.36,1e-08,3.37108375058627e-05
"ANH4210","s",20,-0.36,0.00251349,0.00386412911027306
"ANH4210","s",35,14.64,0,6.99986815244241e-08
"ANH4210","s",50,29.64,0,3.11174831811602e-06
"ANH4210","s",65,44.64,0,3.04318902066697e-07
"ANH4210","sh",20,0.63,0.46542491,0.265230987219833
"ANH4210","sh",35,15.63,0,2.19376622216457e-06
"ANH4210","sh",50,30.63,0,1.4169069128523e-07
"ANH4210","sh",65,45.63,0,6.46622635947598e-09
"ANH4210","u_F1",20,-1.34,0.87307883,0.302740594542539
"ANH4210","u_F1",35,13.66,0.0005341,0.00889357458761764
"ANH4210","u_F1",50,28.66,0,1.91415842551307e-07
"ANH4210","u_F1",65,43.66,0,6.28864779012271e-13
"ANH4210","u_F2",20,-8.8,0.08081899,0.145924034236757
"ANH4210","u_F2",35,6.2,0.21719015,0.409178135124485
"ANH4210","u_F2",50,21.2,0.02384138,0.109707497793076
"ANH4210","u_F2",65,36.2,0,3.60687476284091e-09
"ANH4211","a_F1",20,4.9,0.99081346,0.488823882251066
"ANH4211","a_F1",35,19.9,0.12607627,0.157752614635325
"ANH4211","a_F1",50,34.9,0.11645273,0.242348903745622
"ANH4211","a_F1",65,49.9,0,0.000949672010277138
"ANH4211","a_F2",20,-3.29,0.39472388,0.189866219676711
"ANH4211","a_F2",35,11.71,0.5263494,0.547962055621069
"ANH4211","a_F2",50,26.71,0,1.50043048826904e-05
"ANH4211","a_F2",65,41.71,0,9.7714222998526e-05
"ANH4211","i_F1",20,-6.54,0.28316024,0.868479303095522
"ANH4211","i_F1",35,8.46,0.08097423,0.26072832478587
"ANH4211","i_F1",50,23.46,0,8.12699271207447e-06
"ANH4211","i_F1",65,38.46,0,2.52613252891056e-07
"ANH4211","i_F2",20,-8.64,0.3655911,0.911137218277452
"ANH4211","i_F2",35,6.36,0.43575072,0.493705117729853
"ANH4211","i_F2",50,21.36,0.5066346,0.699531483961025
"ANH4211","i_F2",65,36.36,0,7.44253369510155e-05
"ANH4211","s",20,-5.36,0.09511715,0.122488341625878
"ANH4211","s",35,9.64,0.00012407,0.000237706476966908
"ANH4211","s",50,24.64,0,5.07922816788374e-07
"ANH4211","s",65,39.64,0,1.75377978079742e-07
"ANH4211","sh",20,-4.37,0.2402841,0.438137031584704
"ANH4211","sh",35,10.63,0.02251845,0.0187139391761757
"ANH4211","sh",50,25.63,3.11e-06,0.000876944150932079
"ANH4211","sh",65,40.63,0,1.03042919013049e-06
"ANH4211","u_F1",20,-1.34,0.1471412,0.107747829775194
