"race","activity","bmi"
"2","3",21.963815136
"1","3",19.738801857
"1","2",19.847363831
"1","3",18.941749132
"1","2",19.701407734
"1","1",20.976142152
"1","1",19.755629914
"1","3",30.416144928
"2","3",23.410698033
"1","2",21.694614741
"1","3",27.233005345
"1","3",17.373915936
"1","2",23.832418522
"1","3",23.435108662
"1","3",18.184806037
"1","1",25.557655955
"1","2",19.258685773
"1","2",21.269200938
"1","2",18.263798291
"1","2",19.757276739
"1","3",24.34761326
"1","3",21.305767774
"1","2",19.707362654
"1","3",21.112738809
"1","3",22.288482303
"1","3",20.061673061
"1","2",16.88055732
"1","3",18.726713337
"2","3",20.092942604
"2","2",31.435677432
"2","2",18.27038673
"1","2",23.134269244
"1","2",21.899590657
"1","3",19.670137799
"2","3",21.749546456
"2","2",23.899037696
"2","3",26.832104705
"2","3",22.842778849
"1","2",27.539687189
"2","2",20.934256055
"2","2",25.080896925
"2","2",22.38022654
"1","2",19.858745512
"2","1",24.79019998
"2","2",31.333910362
"1","2",23.658446917
"1","2",23.221269114
"2","2",19.446614453
"2","3",24.503833311
"2","1",29.041585655
"2","3",29.356013912
"1","3",21.838013095
"2","2",23.187265699
"1","3",20.961544601
"2","2",24.432882414
"2","2",19.714375181
"2","3",17.708607776
"1","3",19.52532558
"1","3",23.664231554
"2","3",32.113609467
"2","2",24.076519619
"2","2",19.147828673
"1","2",25.608630327
"2","2",27.409892568
"2","1",21.046209031
"2","2",17.760946746
"2","2",19.170556576
"2","2",23.099093326
"2","1",21.88244907
"1","2",23.04360521
"2","3",19.508689623
"2","3",22.478573615
"1","2",22.214658571
"2","3",21.603018109
"1","3",21.233716799
"1","2",26.560228749
"1","3",19.840698137
"1","2",18.472118988
"1","2",18.116270222
"1","2",31.034923417
"1","3",25.927809871
"1","2",23.330210584
"1","2",17.723616316
"1","2",25.570378886
"1","3",20.209446153
"1","2",41.837127895
"1","2",22.307119995
"1","1",16.994708784
"1","3",19.510231734
"1","2",18.898492528
"1","1",30.442152575
"1","2",22.893696379
"1","1",36.532692955
"1","2",29.288872176
"1","3",23.962821801
"1","3",23.261345644
"1","1",22.246091677
"2","2",25.804625687
"2","3",22.501867259
"1","3",20.149601222
"2","1",27.462686567
"1","2",19.770720016
"1","2",18.606447951
"2","3",27.166520696
"1","2",20.058660227
"2","3",30.196540393
"2","2",19.678918459
"1","2",17.728307785
"1","3",24.796798197
"2","3",26.311274134
"1","3",25.44303951
"1","3",22.351970522
"1","3",21.661518508
"2","3",23.212929365
"2","3",26.456203604
"2","2",20.620859099
"1","3",24.602444846
"2","2",18.043063716
"2","3",29.531690751
"2","3",20.254126973
"2","2",43.897847301
"2","3",16.357083049
"2","2",20.945390505
"2","2",19.007195795
"2","3",18.746199557
"2","2",22.930780724
"2","3",20.740412538
"2","3",22.6106683
"2","3",28.099973126
"2","3",25.495409769
"2","3",23.993436332
"2","3",23.24650654
"2","2",18.389462763
"2","3",21.211020344
"2","2",22.242740719
"2","3",25.172405138
"2","2",34.452584225
"2","2",26.493270583
"2","3",28.186523948
"2","3",20.110542226
"2","2",21.838145854
"2","2",25.194291289
"2","2",34.762471012
"1","1",29.021279008
"2","2",29.510828507
"2","2",23.157058414
"2","2",22.360031444
"2","1",20.50895681
"1","2",21.203955523
"2","2",20.720833405
"2","2",33.872099067
"1","2",26.701003425
"2","3",22.13673973
"2","2",19.797979798
"2","2",20.984475094
"2","2",33.31973338
"1","2",20.260772539
"2","2",19.671472232
"1","1",28.345129471
"1","2",29.005937872
"2","2",32.416817057
"1","1",21.611653838
"1","2",24.593266517
"1","2",21.682796759
"1","2",21.203114824
"1","2",22.013135261
"2","3",26.2080086
"1","3",20.11160534
"1","3",20.848845082
"1","1",29.597740956
"1","2",22.423572989
"1","3",20.578613671
"1","2",20.06954617
"1","3",20.317819416
"1","3",37.093918413
"1","2",31.762962963
"1","2",16.644004491
"1","1",23.837186803
"2","2",41.04255901
"2","3",23.490237579
"2","1",19.616980419
"2","1",18.600037764
"1","1",20.936970694
"1","2",17.700883909
"1","1",19.45898025
"2","2",19.155830975
"1","1",36.824672455
"1","3",21.596557805
"1","3",25.397073098
"2","1",18.633277932
"1","2",18.433108107
"2","2",16.882794785
"1","2",21.829731058
"2","2",24.837717705
"1","1",23.957204847
"2","3",19.511211892
"2","2",35.579193743
"1","3",27.261729735
"1","2",31.357670975
"1","3",22.800859006
"1","1",21.148133112
"1","2",28.397258718
"2","2",27.154663518
"2","3",24.068525658
"2","2",18.131883508
"1","3",24.335010622
"1","3",20.777004257
"1","3",21.712342251
"2","1",39.020672219
"1","2",25.130532555
"2","2",21.451324294
"1","3",22.408919752
"2","3",19.680350556
"2","3",24.260065566
"2","1",21.237894645
"1","3",21.637240822
"1","2",21.983253956
"1","2",19.155140677
"2","3",22.232851474
"1","3",18.596209285
"2","2",19.618310812
"2","2",24.40353989
"2","1",23.110253115
"2","2",23.210778275
"1","3",18.949235989
"1","1",21.822296434
"2","3",21.175264188
"2","1",34.275224073
"1","2",30.247569823
"1","2",17.852077029
"2","2",23.712395579
"2","3",21.83574203
"2","1",42.642941118
"1","3",20.402622779
"1","2",20.4298963
"1","2",21.965322641
"1","2",29.795337816
"1","2",21.280188924
"1","2",20.724678964
"1","3",19.187224861
"1","3",19.959355494
"1","2",20.039615489
"1","2",19.302527846
"1","2",19.968469885
"1","2",22.990539403
"1","3",19.153699252
"1","3",24.629812755
"1","2",20.950366358
"1","3",19.65717749
"2","3",22.86925
"1","3",27.031314654
"1","3",21.785873666
"1","3",19.559311213
"1","2",22.17589216
"1","3",20.329017327
"1","3",22.985208955
"1","3",19.350520904
"1","3",23.408657552
"2","2",31.513910341
"1","3",22.045182449
"1","2",21.79408284
"1","2",15.384578859
"1","2",21.70135975
"1","2",21.110153932
"1","2",19.772422
"2","1",29.046919878
"2","3",21.948806952
"2","2",22.034751952
"2","2",47.109626964
"2","2",24.333729709
"2","3",18.432
"2","1",35.350665981
"2","1",25.468749567
"1","1",16.268731566
"1","2",27.119993737
"1","2",23.526077098
"1","2",26.253677339
"1","2",20.510106476
"1","2",21.301056558
"1","2",21.226366586
"1","3",20.953243226
"1","2",22.844648233
"1","2",21.28336211
"1","3",22.285799049
"1","3",18.274087759
"1","3",19.682087037
"2","2",40.345616504
"1","3",20.772907469
"1","2",19.498829718
"1","2",25.782766926
"1","1",20.69545202
"1","3",22.355235876
"1","3",22.418739589
"1","3",24.894389513
"2","3",27.323828472
"2","1",27.900176254
"2","2",24.596585278
"1","3",22.016076637
"2","2",21.271809545
"1","3",24.1669552
"1","3",26.629347196
"1","1",20.097949731
"1","2",17.781771715
"2","2",26.346895976
"1","3",23.109713508
"1","2",21.486520534
"2","1",47.776881961
"1","2",21.929786694
"1","2",35.613867393
"1","1",23.143920948
"1","3",18.240688965
"2","3",20.918219717
"2","3",20.610201597
"1","1",34.335161223
"2","2",26.948226133
"2","3",23.050149283
"2","2",21.824364046
"2","1",27.076939451
"1","3",19.721036968
"1","2",18.867192302
"2","1",20.0390625
"2","2",17.424712492
"1","3",22.427582529
"1","1",34.267433036
"1","2",23.7127283
"1","2",18.302167632
"2","1",26.662186769
"2","2",18.660942797
"2","3",20.848405642
"1","2",20.984848993
"1","2",18.29195679
"2","1",27.920516992
"1","1",26.223462869
"2","3",19.039549521
"1","2",31.950386226
"2","1",18.369664224
"2","2",29.184980487
"2","2",30.422311589
"1","3",27.888663086
"2","2",20.577176555
"1","2",23.991920549
"1","2",16.753187692
"1","2",20.342063994
"2","2",27.709807394
"2","2",26.29928805
"2","2",29.332976505
"2","3",29.021804071
"2","2",31.172057694
"2","2",28.953178686
"2","1",23.671487325
"2","2",40.57278875
"2","2",18.769299774
"2","2",22.684596885
"2","2",21.60423967
"2","3",17.344177085
"2","2",21.845557784
"1","1",23.911860881
"1","2",26.064928824
"1","2",30.152531321
"1","2",21.217927535
"2","2",18.903574827
"2","3",19.781310648
"1","2",28.937138109
"2","2",21.464698042
"2","2",30.449526624
"2","2",20.843419917
"2","1",24.625377648
"2","2",32.924341542
"2","2",19.046864613
"2","1",37.825440635
"1","2",33.392661912
"2","2",38.023796924
"2","2",28.118254754
"2","2",31.21073861
"2","2",19.753133781
"2","1",36.159033177
"2","3",27.996371577
"1","2",24.382058669
"2","3",24.889302286
"1","2",22.056809504
"1","2",19.799398034
"2","2",22.480867347
"2","1",47.554823063
"2","2",19.716506885
"2","2",26.019518522
"2","2",25.759370108
"2","2",21.662096828
"1","2",21.894297619
"2","2",28.749900804
"1","2",23.033130271
"1","3",21.801302106
"1","3",21.476018608
"1","2",30.170993897
"1","3",21.911039152
"1","2",28.829726505
"2","2",19.861572131
"2","3",18.038993911
"2","2",26.161861017
"2","2",22.267862934
"1","2",20.451431259
"2","2",23.32361516
"2","3",24.939782311
"2","3",18.003428705
"2","2",23.060803652
"2","2",27.660127763
"2","2",30.027942126
"2","2",15.910790605
"2","2",22.226193027
"2","2",20.179852397
"2","1",25.67154426
"1","3",18.719276044
"2","2",21.810097607
"2","3",21.521895646
"1","3",17.938106887
"1","2",17.916845843
"1","2",22.219538703
"1","1",21.860503666
"1","3",28.104704245
"1","3",20.288965772
"1","2",28.278164067
"1","3",26.359668769
"1","2",21.937723487
"1","3",23.22879507
"1","3",18.552814586
"1","3",18.989625217
"1","2",19.04200973
"1","2",28.450094829
"1","2",20.415322418
"1","3",21.492609345
"1","1",17.326473133
"1","2",23.030697361
"1","3",18.155408743
"1","3",19.239863072
"1","3",18.517410193
"1","2",28.077072152
"1","2",25.853170376
"1","2",28.557492998
"1","2",23.186335742
"1","3",25.376095198
"1","1",22.265954268
"1","2",17.895191375
"2","3",24.601294692
"1","2",22.481981988
"1","2",21.107909563
"1","2",19.217192933
"1","1",18.781746122
"1","2",23.083224753
"1","3",19.705294005
"1","2",19.420710242
"1","2",36.515642738
"2","2",38.380189793
"2","2",26.885188479
"2","2",36.922610723
"1","3",23.033014357
"2","2",23.711585665
"1","2",20.792783021
"1","3",18.075192625
"1","2",23.749182202
"1","2",24.255641428
"1","3",23.447840056
"2","3",20.113469833
"2","2",19.700631117
"1","3",23.904733261
"1","3",21.111303156
"2","2",21.846611532
"1","2",30.712504592
"1","2",26.609958975
"2","1",34.131576777
"2","1",22.989912888
"2","3",32.329406242
"2","2",21.422441869
"2","3",21.388003698
"2","2",27.804051942
"2","1",32.2224235
"2","2",24.180331193
"2","2",19.461153348
"2","2",35.052780012
"2","1",29.476584022
"2","1",22.023189843
"2","1",30.091431658
"2","2",26.757990215
"2","1",41.753376785
"2","1",26.4003813
"2","2",38.679675943
"2","2",41.318333428
"1","2",22.412620397
"1","1",23.022242936
"1","1",24.140157756
"2","3",28.470894939
"2","3",23.352448017
"2","2",23.357687713
"2","2",20.491947456
"1","2",27.109746593
"2","2",39.018662025
"2","2",22.389492581
"2","2",23.999372264
"2","1",18.538046496
"2","3",31.45434747
"2","2",38.499141744
"2","3",16.643144356
"1","2",20.72576
"1","2",20.602216822
"2","2",32.67620848
"2","3",21.208366606
"2","2",24.054795865
"2","1",41.381153932
